国家：India , 年份： 2005, 名称：DRDO Abhay (Fearless)
国家：Poland , 年份： 2003, 名称：KTO Rosomak
国家：Finland , 年份： 2006, 名称：Patria AMV (Armored Modular Vehicle)
国家：Finland , 年份： 1984, 名称：Patria Pasi XA
国家：China , 年份： 2001, 名称：NORINCO PLL-05 (Type 05)
国家：Indonesia , 年份： 2008, 名称：Pindad APS-3 Anoa (Pindad Panser)
国家：South Korea , 年份： 2009, 名称：Hanwha K300 KNIFV (K21)
国家：Sweden , 年份： 1993, 名称：Combat Vehicle 90 / Stridsfordon 90 (CV90 / Strf 90
国家：Taiwan , 年份： 2007, 名称：CM-32 Yunpao (Clouded Leopard) / TIFV (Taiwan Infantry Fighting Vehicle)
国家：Germany , 年份： 1981, 名称：Rheinmetall Landsysteme Condor
国家：Soviet Union , 年份： 1989, 名称：2S19 MSTA
国家：United States , 年份： 2000, 名称：M915A5
国家：Japan , 年份： 1995, 名称：Type 96 (APC)
国家：Israel , 年份： 2007, 名称：Sabra (M60T)
国家：Iran , 年份： 1997, 名称：DIO Boragh
国家：Ukraine , 年份： 2009, 名称：BTR-4
国家：Ukraine , 年份： 1999, 名称：T-84 (Oplot)
